Tajemnice rodu Romanowów	Ziegler G.	Bertelsmann Media	Opowieść o zmiennych losach panującej ponad trzysta lat rosyjskiej dynastii carów. Na tronie zasiadali ludzie o rozmaitych charakterach - wybitni bądź słabi intryganci; autorka pisze o fałszywych carskich synach i o dworskich spiskach, o wyzysku poddanych i o buntach, odsłania kulisy władzy, odkrywa misternie prowadzone intrygi. Opowieść kończy się w dniu, w którym dokonano brutalnego mordu na ostatnim władcy Rosji, Mikołaju II i jego rodzinie.
Wypędzenie Niemców z terenów na wschód od Odry i Nysy Łużyckiej	Podlasek M.	Wydawnictwo Polsko-Niemieckie	"W latach 1944-45 ze wschodnich prowincji Niemiec (Prusy Wschodnie i Zachodnie, Pomorze oraz Śląsk)wypędzono ok. 15 milionów niemieckich mieszkańców. Okrucieństwo Armii Czerwonej, tragedia gwałconych kobiet, śmierć z wyczerpania i zimna - te fakty były długo ""białą plamą"" w historii. Dzięki zawartym w tej książce relacjom świadków poznamy szczegóły tragicznych losów znienawidzonego narodu wrogów."
Bursztynowa komnata, Fakty i mity	Reimann D. B.	Trio	Czy sprawcami zaginięcia Bursztynowej komnaty są grabieżcy z III Rzeszy? Prywatny detektyw rozpoczął własne śledztwo i dokonał sensacyjnego odkrycia: znalazł miejsce gdzie prawdopodobnie znajduje się cenny skarb oraz sprawców ukrycia - którymi wcale nie byli niemieccy żołnierze...
Tajemnice, zamki, podziemia	Lamparska J.	Asia-Press s.c.	Ta książka to wspaniały przewodnik po najbardziej zagadkowych historiach zamków i pałaców Dolnego Śląska, z których wiele jest już tylko ruinami... Przedstawia fascynujące historie o mieszkańcach rezydencji, rycerzach-trucicielach, magnatkach-awanturnicach, ich zbrodniach i namiętnościach, duchach pokutujących w starych ruinach oraz o hitlerowskich skarbach.
Łowcy skarbów	Wójcik R.	Orgelbrandów	"Zapraszamy was na łowy! Dwanaście wagonów i dwie lokomotywy, czyli legendarny ""Złoty pociąg"" a w nim złoto Wrocławia, skarby Prus i oczywiście Bursztynowa Komnata... Wszystko warte jakieś sto kilkadziesiąt miliardów marek! Będziecie świadkami prawdziwego polowania na tajemnice. W użyciu będą wszelkie dostępne środki techniczne, naukowe a nawet paranaukowe..."
Nie odkryte skarby - Przewodnik dla poszukiwaczy	Antkowiak W.	Lecki	"Czy śni wam się po nocy zaginiony skarb III Rzeszy? Zacznijcie swoją przygodę od Dolnego Śląska - mitycznego ""sejfu"" III Rzeszy. Dowiedzcie się czego tak naprawdę wszyscy szukają i w których miejscach być może czekają nie odkryte skarby, poznajcie podstawowe zasady których musi przestrzegać eksplorator. Dla ułatwienia orientacji w terenie - załączono mapki."
Poszukiwania. Moja historia podwodnych poszukiwań, badań i odkryć	Ballard R.	Bellona	"Historia odkryć znanego amerykańskiego oceanografa, poszukiwacza skarbów i miłośnika podwodnych przygód. Kierowane przez niego ekipy badawcze odkryły a następnie szczegółowo zbadały wiele wraków spoczywających na dnie mórz. Wśród nich znalazły się słynny \""Titanic\"
Lochy Pasłęka - Kulisy poszukiwań skarbów w Polsce	Wójcik R.	Cinderella Books	Kolejny ślad bursztynowej komnaty prowadzi do zamku w Pasłęku. Dzięki reporterskiej relacji na żywo uzupełnionej wieloma zdjęciami możecie towarzyszyć poszukiwaczom w ich niezwykłych przygodach. Z tej książki dowiecie się co jest prawdą a co sensacją rozdmuchaną przez telewizję i prasę, czy poszukiwaczom naprawdę zagrażają tajemniczy strażnicy skarbu i jakie siły sprzysięgły się aby ukryć prawdę...
Tajemnice zamku Czocha	Skowroński J.	Cinderella Books	Ukrywanie zrabowanych skarbów, wędrówki duchów, walki powietrzne niemieckich kamikaze - czy zamek Czocha był świadkiem wszystkich tych wydarzeń? Historia tego niezwykłego Dolnośląskiego zamku pełna jest tajemnic, a poznanie prawdy utrudnia działająca od wielu lat, zadziwiająco skuteczna dezinformacja.
Testament barona Ungerna	Michałowski W. S.	Amber	Z postacią barona von Ungern-Sternberg, ostatniego mongolskiego chana związanych jest wiele tajemnic i kontrowersji, jednak najwięcej emocji budzą losy związanej z nim Azjatyckiej Konnej Dywizji i bajecznego skarbu, którego do dziś nie odnaleziono. Co stało się z dwudziestoma czterema skrzyniami pełnymi złotych monet? Ostatnie odkrycia wskazują na to, że klucz do tajemnicy znajduje się w Polsce.
Gdzie ukryto bursztynową komnatę	Stulin S. J.	Dolnośląskie	W oparciu o relacje świadków i żmudną analizę wszelkich możliwych dokumentów, w formie niemal historycznego śledztwa autor podąża tropem bursztynowej komnaty od momentu jej powstania po dzień dzisiejszy. Znajdziecie tu kolejne wersje losów tego skarbu i niejedno miejsce podejrzane o jego ukrycie, a zdają się one niepokojąco wiarygodne...
Tajemnicze Pomorze	Nitkowska-Węglarz J.	Biuro Odkryć	"Wszyscy lubimy jeździć nad polskie morze. Spojrzycie jednak inaczej na dobrze znajome fale, gdy poznacie kilka tajemnic... Książka pomoże wam odkryć miejsce gdzie istniała ogromna baza ""latających cygar"" - Zeppelinów oraz odnaleźć uzdrowisko, które było... ""domem kopulacyjnym SS"" i służyło rasowej reprodukcji..."
Poszukiwanie skarbów ukrytych w Polsce	Antkowiak W.	Bellona	"Jedyny w swoim rodzaju przewodnik dla poszukiwaczy skarbów, będący kontynuacją książki ""Nie odkryte skarby"". Opisuje sto miejsc w Polsce, gdzie prawdopodobnie ukryto różnego rodzaju przedmioty mające wartość materialną lub historyczną. Po przestudiowaniu opisów, mapy, poradnika poszukiwacza i informacji prawnych pozostaje już tylko wyruszać na łowy..."
Bitwa o tajemnice	Kozaczuk W.	Książka i Wiedza	Wojna Polsko-Niemiecka rozpoczęła się na długo  przed wrześniem 39 . Fascynujące współzawodnictwo rozpoczęły wywiady obydwóch krajów. Jednak w tym pojedynku nasze służby były równorzędnym przeciwnikiem dla Abwehry  a czasem jak dowodzi sprawa Enigmy znacznie ją dystansowały. Niestety nasza armia nie miała już tyle do powiedzenia.
Łeba-wojenne tajemnice	Kotarski L.	JMK	Nad czym pracowano w niemieckiej Stacji Doświadczalnej Łeba ? Co mijamy wędrując latem na słynne ruchome piaski? Co przewożono hydroplanami i ukrywano pod ziemią? Czy można z fragmentów budowli które pozostały na tym terenie odczytać przeznaczenie tajnego poligonu?
Sekrety drugiej wojny światowej - wojna mózgów	Johnson B.	Zysk i S-ka	II wojna światowa z punktu widzenia angielskich naukowców. W zaciszach laboratoriów i na poligonach alianci starali się doścignąć technologicznie Niemców. W przypadku radaru i innych wynalazków w końcu się udało ale tam gdzie ponieśli klęskę bezlitośnie niszczyli tajne niemieckie instalacje.
Ostatnia szansa Luftwaffe	Gill G.	Amber	W czasie II wojny światowej niemieccy naukowcy i inżynierowie stale pracowali nad unowocześnianiem armii. Niektóre z ich projektów były naprawdę sensacyjne i gdyby weszły do seryjnej produkcji, mogłyby zmienić bieg historii. Jak dalece zaawansowana była niemiecka technologia wojskowa? Odpowiedź na to pytanie możemy poznać dzięki planom i prototypom przejętym przez aliantów. Czy odkryto jednak wszystko?
Zabić Fuhrera	Rigden D.	Sensacje XX wieku	"W połowie 1941 roku brytyjskie Kierownictwo Operacji Specjalnych (SOE) otrzymało zadanie sprawdzenia możliwości usunięcia Hitlera. Specjalny wydział zwany ""Sekcją X"" opracowywał plany zamachu na nazistowskiego przywódcę w ramach ściśle tajnego projektu o kryptonimie ""Operacja Foxley"". Dlaczego plany te nie zostały wprowadzone w życie?"
Bomba atomowa Hitlera	Walker M.	Amber	Do pościgu za śmiercionośną i globalną bronią nazistowskie Niemcy zaprzęgły najtęższe umysły. Na program rozwoju broni atomowej przeznaczono ogromne środki. Dlaczego zatem pierwsi byli Amerykanie? Gdzie popełniono błąd, który być może uratował świat przed zwycięstwem Hitlera?
Niewyjaśnione tajemnice II wojny światowej	Breuer W.	Amber	Na temat wojny napisano już bardzo wiele, ale czy wszystkie jej zagadki zostały odkryte? Niektóre, drobne z pozoru wydarzenia miały czasem równie istotne znaczenie jak wielkie kampanie... Przeczytajcie o dziwnych spotkaniach, osobliwych zbiegach okoliczności, zaginionych osobach i innych  z pozoru drobnych epizodach które zmieniły bieg wojny.
Fabryki śmierci	Parker J.	Sensacje XX wieku	"Broń chemiczna i biologiczna to najbardziej podstępna broń XX wieku. Autor wprowadzi Was do najbardziej tajnych fabryk i laboratoriów aby przedstawić historię i teraźniejszość \""śmiertelnych wynalazków\"" naukowców. Będziecie świadkami wstrząsających eksperymentów, poznacie całą grozę jaką mogłoby przynieść użycie broni tego rodzaju w działaniach wojennych."
Tajna wojna Hitlera	Wołoszański B.	Sensacje XX wieku	W 1941 roku Niemcy były jeszcze potęgą gospodarczą i militarną przekonaną o zwycięstwie. Czy to możliwe, że już wtedy Hitler dopuszczał możliwość klęski? Jego tajna wojna, trwająca ponad trzy lata miała doprowadzić do rychłego zakończenia wojny. Nikt, poza jego najbliższymi współpracownikami nie mógł dowiedzieć się, że Fuhrer chce układać się z wrogami.
Oblatywacze	Spate W.	Sensacje XX wieku	Podczas II wojny światowej, na deskach projektowych niemieckich inżynierów powstawały śmiałe projekty samolotów. Następnie w tajnych fabrykach wykonywano prototypy. Wreszcie nadchodził czas na próby. I wtedy do akcji wkraczali najlepsi z najlepszych - piloci doświadczalni, czyli oblatywacze. Dzięki ich wspomnieniom poznacie od podszewki najciekawsze konstrukcje Luftwaffe.
Tajna wojna Stalina	Wołoszański B.	Sensacje XX wieku	W latach 1938-1941 gdy świat zmierzał nieuchronnie ku wojnie  Stalin rozpoczął własną grę polityczną, której celem była dominacja Związku Radzieckiego nad całą Europą. Szpiedzy , dyplomaci i politycy snuli misterną sieć lecz nie doceniając przeciwnika przegrali. Historia klęski Radzieckiej polityki zagranicznej w którą byli wplątani nie tylko Niemcy i Rosjanie ale też Anglicy , Polacy i inne narody.
Supertajne bronie Hitlera część 6	Witkowski I.	WIS-2	"W VI części \""Supertajnych broni Hitlera\"" omówiono budowę i funkcjonowanie niemieckich obiektów podziemnych na terenie Polski, Niemczech i Austrii oraz zagadnienia techniczne.  "
Pociągi pancerne	Filipow K.	Muzeum Wojska Białystok	Wiele osób słyszało o niemieckich czy rosyjskich pancernych pociągach, kręcono o nich filmy i pisano książki. Ale mało kto wie że nasza armia dysponowała kilkunastoma pancernymi składami użytymi zarówno podczas wojny w roku 1918 czy 1920 ale także w kampanii wrześniowej.
Miejsca warte zwiedzenia na Warmii i Mazurach	Puciato Cz.	Kengraf	"Niewielu jest zapewne wśród miłośników przygód i tajemnic takich, którzy nigdy nie trafili na Mazury.  Ta przepiękna kraina kryje w sobie wiele zagadek i niesamowitych miejsc, zagubionych tajemniczych budowli, śladów dawnej i nowszej historii. Ten przewodnik zaprowadzi was w miejsca, których nie znają ""weekendowi"" turyści a być może będą one nowym odkryciem także dla Was..."
Pałace i dwory dawnych Prus Wschodnich	Jackiewicz-Garniec M., Garniec M.	Studio Arta	Kilkaset barwnych i czarnobiałych zdjęć, dawne ryciny, przedwojenne mapy to wszystko pokaże wam jak kiedyś wyglądały niemieckie latyfundia i folwarki. Domy które nielitościwy czas zamienił w ruinę i te które przemieniono w perły i powrócono świetności. Opisy i historie pozwolą wam zrozumieć i odnaleźć ukrytą  wśród mazurskich jezior nostalgię.
Obyczaj rycerski w Polsce późnośredniowiecznej (XIV - XV wiek)	Piwowarczyk D.	DiG	Czy w średniowiecznej Polsce żyli prawdziwi rycerze? Czy ich obyczaje, stroje i metody walki różniły się od zachodnioeuropejskich? Dzięki tej książce poznacie sposób życia i postępowania naszych rodzimych romantycznych wojowników. 
Templariusze	Barber M.	Państwowy Instytut Wydawniczy	Templariusze to 200 lat historii, historii zakonu którego siła i znaczenie przerażało ówczesnych władców. Walcząc  o Ziemię Świętą gromadzili skarby  i wiedzę by zaszedłszy na szczyt zginąć w płomieniach odrzucenia. Pozostały po nich legendy, fantazje i mity a tajemnicę pogłębia fakt zaginięcia wszelkich archiwów...
Turnieje rycerskie. Sport dla szlachetnych	Szajewski T.	Egros	Czytelnik znajdzie tu wiele ciekawych, przystępnie napisanych informacji o genezie i historii turniejów, zasadach, według których były organizowane, używanych podczas nich zbrojach, mieczach itp. Przedstawiono również sylwetki najdzielniejszych rycerzy i ich dokonania.
Tajne archiwa archeologii	Burgin L.	Amber	Niektóre znaleziska archeologiczne są tak szokujące, że ukrywa się je przed opinią publiczną. Mimo naukowego potwierdzenia ich autentyczności są na ogół uważane za falsyfikaty. Poznajcie te nieujawnione odkrycia, zaginione skarby i niezwykłe znaleziska, które każą pisać historię ludzkości na nowo...
Polskie piramidy i 40 innych osobliwości	Ostaszewska K., Lewandowski W.	Rój	Na pewno marzycie o podróżach, o tym żeby zobaczyć słynne miejsca w rodzaju krzywej wieży w Pizie, piramid w Egipcie czy magicznego Stonehenge w Anglii. Jeśli nie macie na razie czasu lub środków na zagraniczne podróże - nic straconego. Mamy to samo w Polsce! 
Zakazana archeologia, Ukryta historia człowieka	Cremo M. A., Thompson R. L.	Arche	"""Jeśli wyobrazimy sobie dzieje ludzkości jako olbrzymie muzeum, zawierające całą wiedzę na ten temat, zobaczymy że kilka sal tego muzeum zamknięto na klucz. Naukowcy trzymają pod kluczem fakty, które przeczą akceptowanemu powszechnie obrazowi historii. Jednak M. A. Cremo i R. Thompson otworzyli wiele z zamkniętych drzwi i pozwolili [...] zajrzeć do środka"". "
Rycerze i rycerskość	Barber R.	Bellona	Wspaniała epopeja ukazująca rycerstwo średniowieczne, jego  mentalność, obyczaje i kodeks postępowania. Opisuje zjawisko rycerskości od jego początków do czasów renesansu. Ta książka pozwoli Wam dotknąć legendy i wejść do magicznego kręgu wojowników zakutych w zbroje...
Polska w starożytności	Ostoja-Zagórski J.	Poznańskie	Prymitywne narzędzia, gliniane skorupy, pierwsze ozdoby - to ślady po różnorodnych kulturach, które kiedyś zamieszkiwały tereny naszego kraju. Ta książka przedstawia starożytnych mieszkańców Polski oraz pokazuje co po nich zostało, jest kompletnym przewodnikiem i katalogiem tego, co znajdują archeolodzy.
Życie codzienne zakonu Templariuszy	Bordonove G.	Replika	"""...z odsłoniętą głową, krótko ostrzyżeni i brodaci, w białych płaszczach z czerwonym krzyżem falujących im na ramionach jak skrzydła anielskie, galopujący na swych małych arabskich koniach od bitwy do bitwy, giną jeden po drugim z mieczem wbitym w serce. A ich misja miała tylko jeden cel, wyzbyty z wszelkich ludzkich korzyści: zbawienie wieczne i chwała chrześcijaństwa."" "
Krzyżacy od A do Z	Pizuński P.	Arenga	Cała wiedza o zakonie Krzyżackim w formie leksykonu. Zawiera ponad 500 haseł a autorzy starają się raz na zawsze rozprawić się z krążącymi na temat Krzyżaków mitami i legendami. Ale ci wszyscy którzy kiedykolwiek odwiedzili krzyżackie dziedzictwo wiedzą , że wiele zostało do odkrycia...
Święty Graal Święta Krew	Baigent M., Leigh R., Lincoln H.	vis-a-vis/Etiuda	Ta historyczno-sensacyjna opowieść rozpoczyna się od odkrycia w XIX wieku w ruinach świątyni Wizygotów czterech tajemniczych pergaminów. Na kartkach tej historii spotykają się templariusze, katarzy i krzyżowcy wraz ze swymi skarbami i tajemnicami. Historyczne śledztwo doprowadza autorów do postaci samego Jezusa, a jego wyniki szokują nie tylko zwierzchników kościoła...
Wilczy Szaniec, Twierdza Boyen oraz inne kwatery Hitlera w Europie	Puciato Cz., Rużewicz W.	Replika	Bogato ilustrowany przewodnik po kwaterze Hitlera i sąsiednich obiektach wojskowych . Bardzo ciekawe zdjęcia z okresu wojny a także opis stanu obecnego. Skrócone opisy innych kwater Hitlera.
Tajemnice Gór Sowich	Cera J.	Inter-Cera	Autor książki, zawodowy żołnierz i uczestnik oficjalnych badań podziemnych kompleksów Gór Sowich  przedstawia efekty swoich prac w terenie, rozmów ze świadkami i poszukiwań w archiwach. Poważne potraktowanie tematu i naukowe podejście autora umożliwiło powstanie solidnego źródła wiedzy na temat tego, co naprawdę kryją tajemnicze podziemia i które z hipotez znajdują naukowe potwierdzenie.
Zamki i obiekty warowne Jury Krakowsko-Częstochowskiej	Sypek R.	Alma-Press	Pełne kolorów przewodniki turystyczno-historyczne pokazują i opisują krainy zamków i warownych miast.Poprowadzą was przez historią  obiektów z których wielu próżno by szukać na współczesnych mapach. Dzięki licznym schematom, planom  i rekonstrukcjom możemy kiedyś pokusić się by  podążyć śladem dawnych  budowniczych. 
Zamki i obiekty warowne - Zamki Krzyżackie- Pomezania, Ziemia Sasińska i Lubawska	Sypek R.	Cinderella Books	Pełne kolorów przewodniki turystyczno-historyczne pokazują i opisują krainy zamków i warownych miast.Poprowadzą was przez historią  obiektów z których wielu próżno by szukać na współczesnych mapach. Dzięki licznym schematom , planom  i rekonstrukcjom możemy kiedyś pokusić się by  podążyć śladem dawnych  budowniczych. 
Wał Pomorski	Miniewicz J., Perzyk B.	Militaria Bogusława Perzyka	Niezwykły portret potężnej linii niemieckich umocnień granicznych, wybudowanych w latach 1932-45 na Pomorzu Zachodnim. Kopalnia wiadomości o szczegółach technicznych wszystkich budowli, o poszczególnych etapach powstawania a także o walkach toczonych w tym rejonie.  Jeśli wybieracie się obejrzeć to miejsce - przeczytajcie, a milczące betonowe bunkry przemówią i odsłonią swoje mroczne tajemnice.
Międzyrzecki Rejon Umocniony	Perzyk B., Miniewicz J.	Militaria Bogusława Perzyka	Obiekty Międzyrzeckiego Rejonu Umocnionego są uznawane za drugą fortyfikację w Europie, zaraz po Linii Maginota. W koncepcji niemieckiej wał obronny miał odciążyć wojska polowe. Żelbetonowe i pancerne konstrukcje pozwalały prowadzić walkę za pomocą stacjonarnych maszyn kierowanych przez ludzi. Schrony i podziemia, jakie powstały w ramach tego projektu są tylko niewielką, zrealizowaną częścią  wielkiego niemieckiego planu stworzenia frontu ufortyfikowanego. 
Riese - tajemnica Gór Sowich	Dudziak M., Biczak R.	JMK	Pierwszy i jedyny przewodnik po podziemiach Gór Sowich, dedykowany prawdziwym eksploratorom. Poznacie historię i sekrety wszystkich znanych poniemieckich kompleksów, zarówno tych, które udostępniono do zwiedzania, jak ich tych, których stan na to nie pozwala. 
Podziemne tajemnice Hitlera - poszukiwania	Wójcik R.	WIS-2	Ryszard Wójcik pisze o tajemnicach podziemi III Rzeszy z pozycji czynnego uczestnika wypraw poszukiwawczych w jakich sam brał udział, dlatego też jego opowieść jest ekscytująca i ciekawa. Odkrywa przed nami sekrety Hitlera i Niemców, które przed laty powierzono podziemiom.
Świnoujskie fortyfikacje - przewodnik	Laskowski P., Wroński A.	Gryf	Przewodnik po umocnieniach militarnych Świnoujścia ukazujący wygląd obecny, rekonstrukcje i schematy obiektów, a także opisujący wydarzenia historyczne związane z tymi fortyfikacjami w wieku XIX oraz podczas I i II wojny światowej.
Festungsfront Oder-Warthe-Bogen. KATALOG	Jurga R. M., Kędryna A. M.	Donjon	Pięknie wydany, w formacie A4 katalog obiektów MRU, wynik drobiazgowych prac inwentaryzacyjnych prowadzonych w terenie w latach 1988-2000. Ukazuje schematy, układ pomieszczeń i uzbrojenie schronów bojowych, także tych, które są całkowicie lub częściowo zniszczone lub niedostępne z różnych względów. Rekonstruowano je na podstawie źródeł archiwalnych a także relacji osób, które wysadzali umocnienia po wojnie. Ilustracje z niezwykłą dokładnością przedstawiają wszystkie elementy obiektów, wskazują miejsca niebezpieczne a także szczególnie warte obejrzenia. 
Hełmy niemieckie - poradnik kolekcjonera	Goodapple T. V.	PWN	Unikalny na rynku księgarskim przewodnik dla kolekcjonerów. Prezentuje zdjęcia, opisy i orientacyjne ceny (obowiązujące w USA) ponad 100 typów niemieckich hełmów z lat 1930-45. Informacje ogólne zawarte w książce pozwalają na wstępną identyfikację hełmów i wykluczenie falsyfikatów.
Bagnety	Królikiewicz T.	Bellona	Ponownie w Księgarni Odkrywcy!<br>Książka jest unikalną publikacją dotyczącą bagnetów - rodzaju białej broni, który od przeszło trzystu lat stanowi uzbrojenie żołnierzy. Poznacie historię, konstrukcję i oznakowanie bagnetów używanych przez wojska różnych państw. Doskonałym uzupełnieniem są liczne zdjęcia, rysunki i schematy dzięki którym będziecie mogli zidentyfikować swoje znaleziska.
Wielki leksykon broni i uzbrojenia	Trubnikow B.	Kurpisz	Unikatowa skarbnica wiedzy na temat broni używanej przez człowieka od czasów najdawniejszych po współczesne. Zawiera ponad 8000 haseł uzupełnionych schematami i rysunkami z zakresu wiedzy o broni i uzbrojeniu, systemu klasyfikacji broni oraz sposobu oznaczania wyrobów przez jej wytwórców (rusznikarzy, mieczników, fabryki itp.)
Muzea w Polsce - informator	Sołtysiak M., Wierzbicka K.	DiG	Jedyny w swoim rodzaju przewodnik po muzeach w  Polsce. Przedstawia muzea i ich ekspozycje z każdego zakątka kraju. Podpowie Wam, które zbiory są najsłynniejsze, gdzie można obejrzeć najciekawsze eksponaty, a także jakie skarby kryją zapomniane muzea w małych miasteczkach... 
Słownik nazewnictwa krajoznawczego, polsko-niemiecki niemiecko-polski	Battek M. J.	Silesia	Nowe, rozszerzone wydanie !!!<br>Słownik zawiera nazwy topograficzne ze wszystkich obszarów Polski, które do 1945 roku należały do Niemiec, a więc z terenów Śląska, Ziemi Lubuskiej, Pomorza oraz Warmii i Mazur. Znajdziecie tu nazwy miejscowości, wsi, osiedli, ulic, placów a także gór, rzek, jezior i innych elementów topografii tych regionów. Idealny słownik do porównywania map, tekstów źródłowych, starych  pocztówek ...
Wyposażenie socjalne obiektów fortyfikacji niemieckiej 1933-1944	Kędryna A., Jurga R.	Donjon	W dzisiejszych czasach większość niemieckich bunkrów, fortyfikacji i podziemnych fabryk to puste, zdewastowane betonowe budowle. Jeśli chcesz przenieść się w przeszłość, ujrzeć jak wyglądały wtedy gdy rozbrzmiewały gardłowymi głosami niemieckich żołnierzy - musisz przeczytać i obejrzeć tę książkę.
Interpretacja zdjęć lotniczych	Ciołek T., Miszalski J., Olędzki J.	PWN	Kompletny, bogato  ilustrowany podręcznik pozwalający porównywać i interpretować stare i współczesne zdjęcia lotnicze. Znajdziecie w nim modelowe wyjaśnienie jak zdjęcia lotnicze są robione i czego można po nich oczekiwać. Jeśli chcecie na poważnie szukać ukrytych obiektów ta książka niewątpliwie pokaże nową metodę.
Atlantyda Odnaleziona	Cussler C.	Amber	W najnowszym bestsellerze towarzyszymy Dirkowi Pittowi w brawurowej akcji ratowania świata przed szykowaną przez neofaszystów zagładą. Podczas wojny Niemcy natrafili na pozostałości po dawnej cywilizacji z Atlantydy, a zdobytą dzięki starożytnym znakom wiedzę wykorzystują dla urzeczywistnienia planów budowy Czwartej Rzeszy.
Podwodni łowcy	Cussler C.	Amber	NUMA - National Underwater and Marine Agency - to fundacja badająca historię katastrof morskich i zaginionych wraków okrętów. W swojej książce pełnej fascynujących przygód Clive Cussler, założyciel fundacji opisuje poszukiwania, badania oraz prace wydobywcze jedenastu okrętów oraz jednego pociągu, które zatonęły w ciągu ostatnich stu pięćdziesięciu lat. Poszukiwacze i odkrywcy wiedzą że tajemnice są romantyczne, a ta książka jest na to doskonałym dowodem.
Złoto Inków	Cussler C.	Amber	Bezwzględna szajka złodziei dzieł sztuki kontra Dirk Pitt w pasjonującej walce o odnalezienie legendarnego skarbu Inków. Kluczem do tajemnicy wydaje się być starożytna mapa ukryta gdzieś w południowoamerykańskiej dżungli. Czy uda się dotrzeć do złotej fortuny? A jeśli tak, to kto będzie pierwszy? Kolejne, już VI wydanie trafia do rąk kolejnych czytelników.
Okręt	Buchheim L.	Bellona	Poznajcie świat marynarzy zamkniętych w żelaznych okrętach, strach przed ścigającymi ich torpedami, poczujcie całą grozę wojny toczącej się w głębiach oceanów. W mroczną podróż zabierze Was na swojego U-boota  niemiecki porucznik, jeden z wielu służących we flocie admirała Donitza.
